round,event,ack,cwnd,ssthresh
1,slow_start,1,2.0,4.0
2,slow_start,2,3.0,4.0
3,slow_start,3,4.0,4.0
4,congestion_avoidance,4,4.25,4.0
5,congestion_avoidance,5,4.485,4.0
6,congestion_avoidance,6,4.708,4.0
7,congestion_avoidance,7,4.921,4.0
8,congestion_avoidance,8,5.124,4.0
9,congestion_avoidance,9,5.319,4.0
10,congestion_avoidance,10,5.507,4.0
11,congestion_avoidance,11,5.689,4.0
12,congestion_avoidance,12,5.864,4.0
13,congestion_avoidance,13,6.035,4.0
14,congestion_avoidance,14,6.201,4.0
15,congestion_avoidance,15,6.362,4.0
16,congestion_avoidance,16,6.519,4.0
17,congestion_avoidance,17,6.672,4.0
18,congestion_avoidance,18,6.822,4.0
19,congestion_avoidance,19,6.969,4.0
20,congestion_avoidance,20,7.112,4.0
21,congestion_avoidance,21,7.253,4.0
22,congestion_avoidance,22,7.391,4.0
23,congestion_avoidance,23,7.526,4.0
24,congestion_avoidance,24,7.659,4.0
25,congestion_avoidance,25,7.79,4.0
26,congestion_avoidance,26,7.918,4.0
27,congestion_avoidance,27,8.044,4.0
28,congestion_avoidance,28,8.169,4.0
29,congestion_avoidance,29,8.291,4.0
30,congestion_avoidance,30,8.412,4.0
31,congestion_avoidance,31,8.531,4.0
32,congestion_avoidance,32,8.648,4.0
33,congestion_avoidance,33,8.763,4.0
34,congestion_avoidance,34,8.878,4.0
35,congestion_avoidance,35,8.99,4.0
36,congestion_avoidance,36,9.101,4.0
37,congestion_avoidance,37,9.211,4.0
38,congestion_avoidance,38,9.32,4.0
39,congestion_avoidance,39,9.427,4.0
40,congestion_avoidance,40,9.533,4.0
41,congestion_avoidance,41,9.638,4.0
42,congestion_avoidance,42,9.742,4.0
43,congestion_avoidance,43,9.844,4.0
44,congestion_avoidance,44,9.946,4.0
45,congestion_avoidance,45,10.047,4.0
46,congestion_avoidance,46,10.146,4.0
47,congestion_avoidance,47,10.245,4.0
48,congestion_avoidance,48,10.342,4.0
49,congestion_avoidance,49,10.439,4.0
50,congestion_avoidance,50,10.535,4.0
