round,event,ack,cwnd,ssthresh
1,slow_start,1,9.0,16.0
2,slow_start,2,10.0,16.0
3,duplicate_ack,2,10.0,16.0
4,duplicate_ack,2,10.0,16.0
5,fast_retransmit,2,8.0,5.0
6,fast_recovery,2,9.0,5.0
7,fast_recovery,2,10.0,5.0
8,fast_recovery,2,11.0,5.0
9,fast_recovery,2,12.0,5.0
10,fast_recovery,2,13.0,5.0
11,fast_recovery,2,14.0,5.0
12,congestion_avoidance,12,5.2,5.0
13,window_update,12,5.2,5.0
14,congestion_avoidance,13,5.392,5.0
15,window_update,13,5.392,5.0
16,congestion_avoidance,14,5.578,5.0
17,window_update,14,5.578,5.0
18,congestion_avoidance,15,5.757,5.0
19,window_update,15,5.757,5.0
20,congestion_avoidance,16,5.931,5.0
21,window_update,16,5.931,5.0
22,congestion_avoidance,17,6.099,5.0
23,window_update,17,6.099,5.0
24,congestion_avoidance,18,6.263,5.0
25,window_update,18,6.263,5.0
26,congestion_avoidance,19,6.423,5.0
27,window_update,19,6.423,5.0
28,congestion_avoidance,20,6.579,5.0
29,window_update,20,6.579,5.0
30,congestion_avoidance,21,6.731,5.0
31,congestion_avoidance,22,6.879,5.0
32,congestion_avoidance,23,7.025,5.0
33,congestion_avoidance,24,7.167,5.0
34,congestion_avoidance,25,7.306,5.0
35,congestion_avoidance,26,7.443,5.0
36,congestion_avoidance,27,7.578,5.0
37,congestion_avoidance,28,7.71,5.0
38,congestion_avoidance,29,7.839,5.0
39,congestion_avoidance,30,7.967,5.0
40,congestion_avoidance,31,8.092,5.0
41,congestion_avoidance,32,8.216,5.0
42,congestion_avoidance,33,8.338,5.0
43,congestion_avoidance,34,8.458,5.0
44,congestion_avoidance,35,8.576,5.0
45,congestion_avoidance,36,8.693,5.0
46,congestion_avoidance,37,8.808,5.0
47,congestion_avoidance,38,8.921,5.0
48,congestion_avoidance,39,9.033,5.0
49,congestion_avoidance,40,9.144,5.0
50,congestion_avoidance,41,9.253,5.0
51,congestion_avoidance,42,9.361,5.0
52,congestion_avoidance,43,9.468,5.0
53,congestion_avoidance,44,9.574,5.0
54,congestion_avoidance,45,9.678,5.0
55,congestion_avoidance,46,9.782,5.0
56,congestion_avoidance,47,9.884,5.0
57,congestion_avoidance,48,9.985,5.0
58,congestion_avoidance,49,10.085,5.0
59,congestion_avoidance,50,10.184,5.0
