round,event,ack,cwnd,ssthresh
1,timeout_slow_start,-1,1.0,1.0
2,congestion_avoidance,1,2.0,1.0
3,congestion_avoidance,2,2.5,1.0
4,congestion_avoidance,3,2.9,1.0
5,congestion_avoidance,4,3.245,1.0
6,congestion_avoidance,5,3.553,1.0
7,congestion_avoidance,6,3.834,1.0
8,congestion_avoidance,7,4.095,1.0
9,congestion_avoidance,8,4.339,1.0
10,congestion_avoidance,9,4.57,1.0
11,congestion_avoidance,10,4.789,1.0
12,congestion_avoidance,11,4.998,1.0
13,congestion_avoidance,12,5.198,1.0
14,congestion_avoidance,13,5.39,1.0
15,congestion_avoidance,14,5.576,1.0
16,congestion_avoidance,15,5.755,1.0
17,congestion_avoidance,16,5.929,1.0
18,congestion_avoidance,17,6.097,1.0
19,congestion_avoidance,18,6.261,1.0
20,congestion_avoidance,19,6.421,1.0
21,congestion_avoidance,20,6.577,1.0
22,congestion_avoidance,21,6.729,1.0
23,congestion_avoidance,22,6.877,1.0
24,congestion_avoidance,23,7.023,1.0
25,congestion_avoidance,24,7.165,1.0
26,congestion_avoidance,25,7.305,1.0
27,congestion_avoidance,26,7.442,1.0
28,congestion_avoidance,27,7.576,1.0
29,congestion_avoidance,28,7.708,1.0
30,congestion_avoidance,29,7.838,1.0
31,congestion_avoidance,30,7.965,1.0
32,congestion_avoidance,31,8.091,1.0
33,congestion_avoidance,32,8.215,1.0
34,congestion_avoidance,33,8.336,1.0
35,congestion_avoidance,34,8.456,1.0
36,congestion_avoidance,35,8.574,1.0
37,congestion_avoidance,36,8.691,1.0
38,congestion_avoidance,37,8.806,1.0
39,congestion_avoidance,38,8.92,1.0
40,congestion_avoidance,39,9.032,1.0
41,congestion_avoidance,40,9.143,1.0
42,congestion_avoidance,41,9.252,1.0
43,congestion_avoidance,42,9.36,1.0
44,congestion_avoidance,43,9.467,1.0
45,congestion_avoidance,44,9.572,1.0
46,congestion_avoidance,45,9.677,1.0
47,congestion_avoidance,46,9.78,1.0
48,congestion_avoidance,47,9.883,1.0
49,congestion_avoidance,48,9.984,1.0
50,congestion_avoidance,49,10.084,1.0
51,congestion_avoidance,50,10.183,1.0
